episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
309,57361,0.2909,0.0000,256,0.001013,,
310,57535,0.2888,0.3883,174,0.001090,,
311,57791,0.2856,0.0000,256,0.000906,,
312,57952,0.2836,0.4340,161,0.001031,,
313,57996,0.2831,0.8453,44,0.000979,,
314,58252,0.2799,0.0000,256,0.001026,,
315,58508,0.2768,0.0000,256,0.000885,,
316,58764,0.2736,0.0000,256,0.001242,,
317,59020,0.2704,0.0000,256,0.001019,,
318,59276,0.2673,0.0000,256,0.000923,,
319,59532,0.2641,0.0000,256,0.001182,,
320,59638,0.2627,0.6273,106,0.000773,,
321,59894,0.2596,0.0000,256,0.001117,,
322,60150,0.2564,0.0000,256,0.001260,,
323,60406,0.2532,0.0000,256,0.001587,,
324,60662,0.2501,0.0000,256,0.001479,,
325,60913,0.2470,0.1176,251,0.001516,,
326,61169,0.2438,0.0000,256,0.001332,,
327,61294,0.2423,0.5605,125,0.001350,,
328,61550,0.2391,0.0000,256,0.001349,,
329,61709,0.2371,0.4410,159,0.001336,,
330,61965,0.2339,0.0000,256,0.001164,,
331,62221,0.2308,0.0000,256,0.001364,,
332,62477,0.2276,0.0000,256,0.001185,,
333,62733,0.2244,0.0000,256,0.001331,,
334,62989,0.2213,0.0000,256,0.000982,,
335,63245,0.2181,0.0000,256,0.001350,,
336,63459,0.2155,0.2477,214,0.001132,,
337,63715,0.2123,0.0000,256,0.001071,,
338,63971,0.2091,0.0000,256,0.001258,,
339,64141,0.2070,0.4023,170,0.001301,,
340,64262,0.2055,0.5746,121,0.001179,,
341,64518,0.2024,0.0000,256,0.001669,,
342,64774,0.1992,0.0000,256,0.001731,,
343,65030,0.1960,0.0000,256,0.001564,,
344,65286,0.1929,0.0000,256,0.001435,,
345,65542,0.1897,0.0000,256,0.001432,,
346,65798,0.1865,0.0000,256,0.001762,,
347,66054,0.1833,0.0000,256,0.001661,,
348,66310,0.1802,0.0000,256,0.001952,,
349,66509,0.1777,0.3004,199,0.001570,,
350,66765,0.1745,0.0000,256,0.001575,,
351,67021,0.1714,0.0000,256,0.001499,,
352,67277,0.1682,0.0000,256,0.001487,,
353,67503,0.1654,0.2055,226,0.001334,,
354,67759,0.1623,0.0000,256,0.001741,,
355,68015,0.1591,0.0000,256,0.001952,,
356,68271,0.1559,0.0000,256,0.002043,,
357,68527,0.1528,0.0000,256,0.002447,,
358,68783,0.1496,0.0000,256,0.002210,,
359,69039,0.1464,0.0000,256,0.001893,,
360,69254,0.1437,0.2441,215,0.001570,,
361,69510,0.1406,0.0000,256,0.002062,,
362,69766,0.1374,0.0000,256,0.001930,,
363,70022,0.1342,0.0000,256,0.002120,,
364,70278,0.1311,0.0000,256,0.001830,,
365,70534,0.1279,0.0000,256,0.001942,,
366,70790,0.1247,0.0000,256,0.001896,,
367,71046,0.1216,0.0000,256,0.002046,,
368,71302,0.1184,0.0000,256,0.001784,,
369,71558,0.1152,0.0000,256,0.001618,,
370,71814,0.1121,0.0000,256,0.001822,,
371,72070,0.1089,0.0000,256,0.002406,,
372,72117,0.1083,0.8348,47,0.002395,,
373,72373,0.1051,0.0000,256,0.002694,,
374,72629,0.1020,0.0000,256,0.002375,,
375,72885,0.0988,0.0000,256,0.002395,,
376,73141,0.0956,0.0000,256,0.002193,,
377,73397,0.0925,0.0000,256,0.002715,,
378,73653,0.0893,0.0000,256,0.002591,,
379,73909,0.0861,0.0000,256,0.002710,,
380,74165,0.0830,0.0000,256,0.002401,,
381,74421,0.0798,0.0000,256,0.002623,,
382,74677,0.0766,0.0000,256,0.002102,,
383,74933,0.0735,0.0000,256,0.002507,,
384,75189,0.0703,0.0000,256,0.002269,,
385,75320,0.0687,0.5395,131,0.002503,,
386,75576,0.0655,0.0000,256,0.002348,,
387,75832,0.0624,0.0000,256,0.002328,,
388,76088,0.0592,0.0000,256,0.002619,,
389,76151,0.0584,0.7785,63,0.002635,,
390,76407,0.0552,0.0000,256,0.002821,,
391,76663,0.0521,0.0000,256,0.002693,,
392,76919,0.0489,0.0000,256,0.002467,,
393,77175,0.0457,0.0000,256,0.002094,,
394,77431,0.0426,0.0000,256,0.002571,,
395,77687,0.0394,0.0000,256,0.002078,,
396,77943,0.0362,0.0000,256,0.002892,,
397,78199,0.0331,0.0000,256,0.002703,,
398,78455,0.0299,0.0000,256,0.002470,,
399,78711,0.0267,0.0000,256,0.002558,,
400,78967,0.0236,0.0000,256,0.002509,,
401,79223,0.0204,0.0000,256,0.002543,,
402,79479,0.0172,0.0000,256,0.002551,,
403,79735,0.0141,0.0000,256,0.002059,,
404,79991,0.0109,0.0000,256,0.002615,,
405,80247,0.0100,0.0000,256,0.002204,,
406,80503,0.0100,0.0000,256,0.002390,,
407,80759,0.0100,0.0000,256,0.002601,,
408,81015,0.0100,0.0000,256,0.002408,,
409,81271,0.0100,0.0000,256,0.002661,,
410,81527,0.0100,0.0000,256,0.002653,,
411,81783,0.0100,0.0000,256,0.002573,,
412,82039,0.0100,0.0000,256,0.002215,,
413,82295,0.0100,0.0000,256,0.002574,,
414,82551,0.0100,0.0000,256,0.002850,,
415,82807,0.0100,0.0000,256,0.002375,,
416,83063,0.0100,0.0000,256,0.002141,,
417,83319,0.0100,0.0000,256,0.002619,,
