episode,steps,epsilon,episode_reward,episode_length,loss,eval_success_rate,eval_avg_reward
407,57665,0.2872,0.9508,14,0.002863,,
408,57703,0.2867,0.8664,38,0.003835,,
409,57727,0.2864,0.9156,24,0.004006,,
410,57743,0.2862,0.9437,16,0.003869,,
411,57768,0.2859,0.9121,25,0.006348,,
412,57784,0.2857,0.9437,16,0.003892,,
413,57799,0.2855,0.9473,15,0.001564,,
414,57820,0.2853,0.9262,21,0.002980,,
415,57847,0.2849,0.9051,27,0.002822,,
416,57860,0.2848,0.9543,13,0.001217,,
417,57875,0.2846,0.9473,15,0.003603,,
418,57890,0.2844,0.9473,15,0.006514,,
419,57907,0.2842,0.9402,17,0.001439,,
420,57921,0.2840,0.9508,14,0.001653,,
421,57934,0.2838,0.9543,13,0.001460,,
422,57951,0.2836,0.9402,17,0.002707,,
423,57965,0.2834,0.9508,14,0.003201,,
424,57985,0.2832,0.9297,20,0.007152,,
425,58000,0.2830,0.9473,15,0.004959,,
426,58066,0.2822,0.7680,66,0.003992,,
427,58124,0.2815,0.7961,58,0.004710,,
428,58157,0.2811,0.8840,33,0.002630,,
429,58204,0.2805,0.8348,47,0.004092,,
430,58215,0.2804,0.9613,11,0.001419,,
431,58229,0.2802,0.9508,14,0.001356,,
432,58247,0.2800,0.9367,18,0.003651,,
433,58260,0.2798,0.9543,13,0.001401,,
434,58271,0.2797,0.9613,11,0.004290,,
435,58285,0.2795,0.9508,14,0.003167,,
436,58403,0.2780,0.5852,118,0.003934,,
437,58416,0.2779,0.9543,13,0.005418,,
438,58462,0.2773,0.8383,46,0.004381,,
439,58474,0.2772,0.9578,12,0.010433,,
440,58529,0.2765,0.8066,55,0.004265,,
441,58555,0.2762,0.9086,26,0.003143,,
442,58568,0.2760,0.9543,13,0.002750,,
443,58583,0.2758,0.9473,15,0.003518,,
444,58595,0.2757,0.9578,12,0.001525,,
445,58611,0.2755,0.9437,16,0.006222,,
446,58624,0.2753,0.9543,13,0.006278,,
447,58679,0.2746,0.8066,55,0.002674,,
448,58695,0.2744,0.9437,16,0.001269,,
449,58785,0.2733,0.6836,90,0.003734,,
450,58826,0.2728,0.8559,41,0.002619,,
451,58879,0.2722,0.8137,53,0.002664,,
452,58895,0.2720,0.9437,16,0.004058,,
453,58906,0.2718,0.9613,11,0.001354,,
454,58922,0.2716,0.9437,16,0.005822,,
455,58936,0.2715,0.9508,14,0.002833,,
456,58948,0.2713,0.9578,12,0.006526,,
457,58963,0.2711,0.9473,15,0.004001,,
458,59070,0.2698,0.6238,107,0.003094,,
459,59086,0.2696,0.9437,16,0.003728,,
460,59100,0.2694,0.9508,14,0.001623,,
461,59111,0.2693,0.9613,11,0.001063,,
462,59123,0.2691,0.9578,12,0.002961,,
463,59137,0.2689,0.9508,14,0.003879,,
464,59153,0.2687,0.9437,16,0.006758,,
465,59165,0.2686,0.9578,12,0.001306,,
466,59215,0.2680,0.8242,50,0.003074,,
467,59242,0.2676,0.9051,27,0.004512,,
468,59256,0.2675,0.9508,14,0.004170,,
469,59274,0.2673,0.9367,18,0.003913,,
470,59287,0.2671,0.9543,13,0.004073,,
471,59303,0.2669,0.9437,16,0.003512,,
472,59318,0.2667,0.9473,15,0.002046,,
473,59343,0.2664,0.9121,25,0.003571,,
474,59356,0.2663,0.9543,13,0.007135,,
475,59370,0.2661,0.9508,14,0.003625,,
476,59388,0.2659,0.9367,18,0.005622,,
477,59427,0.2654,0.8629,39,0.001987,,
478,59439,0.2652,0.9578,12,0.001847,,
479,59454,0.2650,0.9473,15,0.001579,,
480,59470,0.2648,0.9437,16,0.005027,,
481,59483,0.2647,0.9543,13,0.002379,,
482,59499,0.2645,0.9437,16,0.005737,,
483,59514,0.2643,0.9473,15,0.005107,,
484,59527,0.2641,0.9543,13,0.010223,,
485,59556,0.2638,0.8980,29,0.001400,,
486,59580,0.2635,0.9156,24,0.006133,,
487,59618,0.2630,0.8664,38,0.006594,,
488,59676,0.2623,0.7961,58,0.002390,,
489,59689,0.2621,0.9543,13,0.004331,,
490,59704,0.2620,0.9473,15,0.007685,,
491,59719,0.2618,0.9473,15,0.003674,,
492,59740,0.2615,0.9262,21,0.003227,,
493,59755,0.2613,0.9473,15,0.001601,,
494,59770,0.2611,0.9473,15,0.001377,,
495,59781,0.2610,0.9613,11,0.001689,,
496,59799,0.2608,0.9367,18,0.003735,,
497,59815,0.2606,0.9437,16,0.001477,,
498,59835,0.2603,0.9297,20,0.005087,,
499,59850,0.2601,0.9473,15,0.004003,,
500,59869,0.2599,0.9332,19,0.001782,1.0000,0.9613
501,59880,0.2598,0.9613,11,0.001456,,
502,59900,0.2595,0.9297,20,0.004813,,
503,59985,0.2584,0.7012,85,0.003929,,
504,59997,0.2583,0.9578,12,0.007525,,
505,60008,0.2582,0.9613,11,0.005704,,
506,60024,0.2580,0.9437,16,0.003530,,
507,60048,0.2577,0.9156,24,0.006091,,
508,60059,0.2575,0.9613,11,0.004074,,
509,60080,0.2573,0.9262,21,0.004679,,
510,60095,0.2571,0.9473,15,0.006141,,
511,60108,0.2570,0.9543,13,0.005099,,
512,60135,0.2566,0.9051,27,0.004104,,
513,60173,0.2561,0.8664,38,0.003661,,
514,60189,0.2559,0.9437,16,0.001467,,
515,60201,0.2558,0.9578,12,0.004589,,
516,60284,0.2548,0.7082,83,0.005484,,
517,60312,0.2544,0.9016,28,0.003120,,
518,60356,0.2539,0.8453,44,0.005452,,
519,60368,0.2537,0.9578,12,0.009820,,
520,60382,0.2535,0.9508,14,0.008955,,
521,60462,0.2525,0.7188,80,0.003233,,
522,60475,0.2524,0.9543,13,0.004576,,
523,60490,0.2522,0.9473,15,0.003194,,
524,60503,0.2521,0.9543,13,0.004009,,
525,60517,0.2519,0.9508,14,0.003663,,
526,60529,0.2517,0.9578,12,0.002357,,
527,60549,0.2515,0.9297,20,0.008147,,
528,60562,0.2513,0.9543,13,0.004793,,
529,60577,0.2511,0.9473,15,0.001511,,
530,60590,0.2510,0.9543,13,0.001219,,
531,60604,0.2508,0.9508,14,0.006352,,
532,60620,0.2506,0.9437,16,0.003698,,
533,60638,0.2504,0.9367,18,0.004286,,
534,60649,0.2502,0.9613,11,0.001587,,
535,60664,0.2501,0.9473,15,0.003389,,
536,60676,0.2499,0.9578,12,0.002788,,
537,60692,0.2497,0.9437,16,0.001281,,
538,60709,0.2495,0.9402,17,0.004705,,
539,60729,0.2492,0.9297,20,0.004593,,
540,60781,0.2486,0.8172,52,0.005641,,
541,60820,0.2481,0.8629,39,0.003275,,
542,60839,0.2479,0.9332,19,0.002528,,
543,60857,0.2476,0.9367,18,0.002937,,
544,60871,0.2475,0.9508,14,0.001874,,
545,60888,0.2473,0.9402,17,0.001434,,
546,60902,0.2471,0.9508,14,0.007662,,
547,60919,0.2469,0.9402,17,0.003200,,
548,60940,0.2467,0.9262,21,0.002903,,
549,60954,0.2465,0.9508,14,0.007977,,
550,60968,0.2463,0.9508,14,0.001420,,
551,60984,0.2461,0.9437,16,0.006464,,
552,60997,0.2459,0.9543,13,0.003447,,
553,61011,0.2458,0.9508,14,0.001649,,
554,61023,0.2456,0.9578,12,0.006978,,
555,61042,0.2454,0.9332,19,0.008392,,
556,61056,0.2452,0.9508,14,0.004431,,
557,61110,0.2445,0.8102,54,0.003721,,
558,61129,0.2443,0.9332,19,0.003048,,
559,61146,0.2441,0.9402,17,0.005560,,
560,61160,0.2439,0.9508,14,0.003681,,
561,61174,0.2437,0.9508,14,0.001542,,
562,61185,0.2436,0.9613,11,0.005326,,
563,61202,0.2434,0.9402,17,0.001673,,
564,61249,0.2428,0.8348,47,0.003776,,
565,61263,0.2426,0.9508,14,0.001353,,
566,61280,0.2425,0.9402,17,0.003101,,
567,61298,0.2422,0.9367,18,0.001711,,
568,61318,0.2420,0.9297,20,0.006180,,
569,61340,0.2417,0.9227,22,0.005209,,
570,61357,0.2415,0.9402,17,0.004020,,
571,61397,0.2410,0.8594,40,0.002731,,
572,61436,0.2405,0.8629,39,0.002423,,
573,61447,0.2404,0.9613,11,0.006981,,
574,61461,0.2402,0.9508,14,0.002537,,
575,61480,0.2400,0.9332,19,0.002891,,
576,61496,0.2398,0.9437,16,0.002115,,
